# board=.../Shift register shematic.bot.etch.tap
# tool size=0.322580
# pass=1
# preview window width=1920 height=1080
-2.02364,37.71286,-2.16286,37.57364
-2.16286,37.57364,-2.32656,37.46426
-2.32656,37.46426,-2.50846,37.38892
-2.50846,37.38892,-2.70156,37.35051
-2.70156,37.35051,-2.89844,37.35051
-2.89844,37.35051,-3.09154,37.38892
-3.09154,37.38892,-3.27343,37.46426
-3.27343,37.46426,-3.43714,37.57364
-3.43714,37.57364,-3.57635,37.71286
-3.57635,37.71286,-3.65937,37.83711
-3.65937,37.83711,-10.51471,37.83711
-10.51471,37.83711,-10.51471,37.25585
-10.51471,37.25585,-10.54988,37.07902
-10.54988,37.07902,-10.61888,36.91245
-10.61888,36.91245,-10.71905,36.76253
-10.71905,36.76253,-10.84653,36.63505
-10.84653,36.63505,-10.99645,36.53488
-10.99645,36.53488,-11.16302,36.46588
-11.16302,36.46588,-11.23711,36.45115
-11.23711,36.45115,-11.23711,35.96539
-11.23711,35.96539,-11.25502,35.89852
-11.25502,35.89852,-11.28963,35.83858
-11.28963,35.83858,-11.33858,35.78963
-11.33858,35.78963,-11.39852,35.75503
-11.39852,35.75503,-11.46539,35.73711
-11.46539,35.73711,-16.53461,35.73711
-16.53461,35.73711,-16.60147,35.75503
-16.60147,35.75503,-16.66142,35.78963
-16.66142,35.78963,-16.71036,35.83858
-16.71036,35.83858,-16.74497,35.89852
-16.74497,35.89852,-16.76289,35.96539
-16.76289,35.96539,-16.76289,39.89111
-16.76289,39.89111,-21.80036,44.92858
-21.80036,44.92858,-21.83497,44.98853
-21.83497,44.98853,-21.85289,45.05539
-21.85289,45.05539,-21.85289,49.97831
-21.85289,49.97831,-21.93035,49.97831
-21.93035,49.97831,-22.41169,50.45964
-22.41169,50.45964,-22.41169,51.14035
-22.41169,51.14035,-21.93035,51.62169
-21.93035,51.62169,-21.24964,51.62169
-21.24964,51.62169,-20.76831,51.14035
-20.76831,51.14035,-20.76831,50.45964
-20.76831,50.45964,-21.24964,49.97831
-21.24964,49.97831,-21.32711,49.97831
-21.32711,49.97831,-21.32711,45.19889
-21.32711,45.19889,-16.33858,40.21036
-16.33858,40.21036,-16.28963,40.16142
-16.28963,40.16142,-16.25502,40.10147
-16.25502,40.10147,-16.23711,40.03461
-16.23711,40.03461,-16.23711,36.26289
-16.23711,36.26289,-11.76289,36.26289
-11.76289,36.26289,-11.76289,36.49318
-11.76289,36.49318,-11.86355,36.53488
-11.86355,36.53488,-12.01346,36.63505
-12.01346,36.63505,-12.14095,36.76253
-12.14095,36.76253,-12.24112,36.91245
-12.24112,36.91245,-12.31011,37.07902
-12.31011,37.07902,-12.34529,37.25585
-12.34529,37.25585,-12.34529,38.94415
-12.34529,38.94415,-12.31011,39.12098
-12.31011,39.12098,-12.24112,39.28755
-12.24112,39.28755,-12.14095,39.43746
-12.14095,39.43746,-12.01346,39.56495
-12.01346,39.56495,-11.86355,39.66512
-11.86355,39.66512,-11.69698,39.73411
-11.69698,39.73411,-11.52015,39.76929
-11.52015,39.76929,-11.33985,39.76929
-11.33985,39.76929,-11.16302,39.73411
-11.16302,39.73411,-10.99645,39.66512
-10.99645,39.66512,-10.84653,39.56495
-10.84653,39.56495,-10.71905,39.43746
